HCPCS,MOD,DESCRIPTION,WORK RVU
78635,TC,Csf ventriculography,0.00
78635,26,Csf ventriculography,0.61
78645,,Csf shunt evaluation,0.57
78645,TC,Csf shunt evaluation,0.00
78645,26,Csf shunt evaluation,0.57
78650,,Csf leakage imaging,0.61
78650,TC,Csf leakage imaging,0.00
78650,26,Csf leakage imaging,0.61
78660,,Nuclear exam of tear flow,0.53
78660,TC,Nuclear exam of tear flow,0.00
78660,26,Nuclear exam of tear flow,0.53
78699,,Unlisted nrvs sys px dx nuc,0.00
78699,TC,Unlisted nrvs sys px dx nuc,0.00
78699,26,Unlisted nrvs sys px dx nuc,0.00
78700,,Kidney imaging morphol,0.45
78700,TC,Kidney imaging morphol,0.00
78700,26,Kidney imaging morphol,0.45
78701,,Kidney imaging with flow,0.49
78701,TC,Kidney imaging with flow,0.00
78701,26,Kidney imaging with flow,0.49
78707,,K flow/funct image w/o drug,0.96
78707,TC,K flow/funct image w/o drug,0.00
78707,26,K flow/funct image w/o drug,0.96
78708,,K flow/funct image w/drug,1.21
78708,TC,K flow/funct image w/drug,0.00
78708,26,K flow/funct image w/drug,1.21
78709,,K flow/funct image multiple,1.41
78709,TC,K flow/funct image multiple,0.00
78709,26,K flow/funct image multiple,1.41
78725,,Kidney function study,0.38
78725,TC,Kidney function study,0.00
78725,26,Kidney function study,0.38
78730,,Urinary bladder retention,0.15
78730,TC,Urinary bladder retention,0.00
78730,26,Urinary bladder retention,0.15
78740,,Ureteral reflux study,0.57
78740,TC,Ureteral reflux study,0.00
78740,26,Ureteral reflux study,0.57
78761,,Testicular imaging w/flow,0.71
78761,TC,Testicular imaging w/flow,0.00
78761,26,Testicular imaging w/flow,0.71
78799,,Unlisted gu px dx nuc med,0.00
78799,TC,Unlisted gu px dx nuc med,0.00
78799,26,Unlisted gu px dx nuc med,0.00
78800,,Rp loclzj tum 1 area 1 d img,0.64
78800,TC,Rp loclzj tum 1 area 1 d img,0.00
78800,26,Rp loclzj tum 1 area 1 d img,0.64
78801,,Rp loclzj tum 2+area 1+d img,0.73
78801,TC,Rp loclzj tum 2+area 1+d img,0.00
78801,26,Rp loclzj tum 2+area 1+d img,0.73
78802,,Rp loclzj tum whbdy 1 d img,0.80
78802,TC,Rp loclzj tum whbdy 1 d img,0.00
78802,26,Rp loclzj tum whbdy 1 d img,0.80
78803,,Rp loclzj tum spect 1 area,1.09
78803,TC,Rp loclzj tum spect 1 area,0.00
78803,26,Rp loclzj tum spect 1 area,1.09
78804,,Rp loclzj tum whbdy 2+d img,1.01
78804,TC,Rp loclzj tum whbdy 2+d img,0.00
78804,26,Rp loclzj tum whbdy 2+d img,1.01
78808,,Iv inj ra drug dx study,0.18
78811,,Pet image ltd area,0.00
78811,TC,Pet image ltd area,0.00
78811,26,Pet image ltd area,1.54
78812,,Pet image skull-thigh,0.00
78812,TC,Pet image skull-thigh,0.00
78812,26,Pet image skull-thigh,1.93
78813,,Pet image full body,0.00
78813,TC,Pet image full body,0.00
78813,26,Pet image full body,2.00
78814,,Pet image w/ct lmtd,0.00
78814,TC,Pet image w/ct lmtd,0.00
78814,26,Pet image w/ct lmtd,2.20
78815,,Pet image w/ct skull-thigh,0.00
78815,TC,Pet image w/ct skull-thigh,0.00
78815,26,Pet image w/ct skull-thigh,2.44
78816,,Pet image w/ct full body,0.00
78816,TC,Pet image w/ct full body,0.00
78816,26,Pet image w/ct full body,2.50
78830,,Rp loclzj tum spect w/ct 1,1.49
78830,TC,Rp loclzj tum spect w/ct 1,0.00
78830,26,Rp loclzj tum spect w/ct 1,1.49
78831,,Rp loclzj tum spect 2 areas,1.82
78831,TC,Rp loclzj tum spect 2 areas,0.00
78831,26,Rp loclzj tum spect 2 areas,1.82
78832,,Rp loclzj tum spect w/ct 2,2.12
78832,TC,Rp loclzj tum spect w/ct 2,0.00
78832,26,Rp loclzj tum spect w/ct 2,2.12
78835,,Rp quan meas single area,0.47
78835,TC,Rp quan meas single area,0.00
78835,26,Rp quan meas single area,0.47
78999,,Unlisted misc px dx nuc med,0.00
78999,TC,Unlisted misc px dx nuc med,0.00
78999,26,Unlisted misc px dx nuc med,0.00
79005,,Nuclear rx oral admin,1.80
79005,TC,Nuclear rx oral admin,0.00
79005,26,Nuclear rx oral admin,1.80
79101,,Nuclear rx iv admin,1.96
79101,TC,Nuclear rx iv admin,0.00
79101,26,Nuclear rx iv admin,1.96
79200,,Nuclear rx intracav admin,1.99
79200,TC,Nuclear rx intracav admin,0.00
79200,26,Nuclear rx intracav admin,1.99
79300,,Nuclr rx interstit colloid,0.00
79300,TC,Nuclr rx interstit colloid,0.00
79300,26,Nuclr rx interstit colloid,1.60
79403,,Hematopoietic nuclear tx,2.25
79403,TC,Hematopoietic nuclear tx,0.00
79403,26,Hematopoietic nuclear tx,2.25
79440,,Nuclear rx intra-articular,1.99
79440,TC,Nuclear rx intra-articular,0.00
79440,26,Nuclear rx intra-articular,1.99
79445,,Nuclear rx intra-arterial,0.00
79445,TC,Nuclear rx intra-arterial,0.00
79445,26,Nuclear rx intra-arterial,2.40
79999,,Rp therapy unlisted px,0.00
79999,TC,Rp therapy unlisted px,0.00
79999,26,Rp therapy unlisted px,0.00
80047,,Metabolic panel ionized ca,0.00
80048,,Metabolic panel total ca,0.00
80050,,General health panel,0.00
80051,,Electrolyte panel,0.00
80053,,Comprehen metabolic panel,0.00
80055,,Obstetric panel,0.00
80061,,Lipid panel,0.00
80069,,Renal function panel,0.00
80074,,Acute hepatitis panel,0.00
80076,,Hepatic function panel,0.00
80081,,Obstetric panel inc hiv tstg,0.00
80143,,Drug assay acetaminophen,0.00
80145,,Drug assay adalimumab,0.00
80150,,Assay of amikacin,0.00
80151,,Drug assay amiodarone,0.00
80155,,Drug assay caffeine,0.00
80156,,Assay carbamazepine total,0.00
80157,,Assay carbamazepine free,0.00
80158,,Drug assay cyclosporine,0.00
80159,,Drug assay clozapine,0.00
80161,,"Asy carbamazepin 10,11-epxid",0.00
80162,,Assay of digoxin total,0.00
80163,,Assay of digoxin free,0.00
80164,,Assay dipropylacetic acd tot,0.00
80165,,Dipropylacetic acid free,0.00
80167,,Drug assay felbamate,0.00
80168,,Assay of ethosuximide,0.00
80169,,Drug assay everolimus,0.00
80170,,Assay of gentamicin,0.00
80171,,Drug screen quant gabapentin,0.00
80173,,Assay of haloperidol,0.00
80175,,Drug screen quan lamotrigine,0.00
80176,,Assay of lidocaine,0.00
80177,,Drug scrn quan levetiracetam,0.00
80178,,Assay of lithium,0.00
80179,,Drug assay salicylate,0.00
80180,,Drug scrn quan mycophenolate,0.00
80181,,Drug assay flecainide,0.00
80183,,Drug scrn quant oxcarbazepin,0.00
80184,,Assay of phenobarbital,0.00
80185,,Assay of phenytoin total,0.00
80186,,Assay of phenytoin free,0.00
80187,,Drug assay posaconazole,0.00
80188,,Assay of primidone,0.00
80189,,Drug assay itraconazole,0.00
80190,,Assay of procainamide,0.00
80192,,Assay of procainamide,0.00
80193,,Drug assay leflunomide,0.00
80194,,Assay of quinidine,0.00
80195,,Assay of sirolimus,0.00
80197,,Assay of tacrolimus,0.00
80198,,Assay of theophylline,0.00
80199,,Drug screen quant tiagabine,0.00
80200,,Assay of tobramycin,0.00
80201,,Assay of topiramate,0.00
80202,,Assay of vancomycin,0.00
80203,,Drug screen quant zonisamide,0.00
80204,,Drug assay methotrexate,0.00
80210,,Drug assay rufinamide,0.00
80220,,Drug asy hydroxychloroquine,0.00
80230,,Drug assay infliximab,0.00
80235,,Drug assay lacosamide,0.00
80280,,Drug assay vedolizumab,0.00
80285,,Drug assay voriconazole,0.00
80299,,Quantitative assay drug,0.00
80305,,Drug test prsmv dir opt obs,0.00
80306,,Drug test prsmv instrmnt,0.00
80307,,Drug test prsmv chem anlyzr,0.00
80320,,Drug screen quantalcohols,0.00
80321,,Alcohols biomarkers 1or 2,0.00
80322,,Alcohols biomarkers 3/more,0.00
80323,,Alkaloids nos,0.00
80324,,Drug screen amphetamines 1/2,0.00
80325,,Amphetamines 3or 4,0.00
80326,,Amphetamines 5 or more,0.00
80327,,Anabolic steroid 1 or 2,0.00
80328,,Anabolic steroid 3 or more,0.00
80329,,Analgesics non-opioid 1 or 2,0.00
80330,,Analgesics non-opioid 3-5,0.00
80331,,Analgesics non-opioid 6/more,0.00
80332,,Antidepressants class 1 or 2,0.00
80333,,Antidepressants class 3-5,0.00
80334,,Antidepressants class 6/more,0.00
80335,,Antidepressant tricyclic 1/2,0.00
80336,,Antidepressant tricyclic 3-5,0.00
80337,,Tricyclic & cyclicals 6/more,0.00
80338,,Antidepressant not specified,0.00
80339,,Antiepileptics nos 1-3,0.00
80340,,Antiepileptics nos 4-6,0.00
80341,,Antiepileptics nos 7/more,0.00
80342,,Antipsychotics nos 1-3,0.00
80343,,Antipsychotics nos 4-6,0.00
80344,,Antipsychotics nos 7/more,0.00
80345,,Drug screening barbiturates,0.00
80346,,Benzodiazepines1-12,0.00
80347,,Benzodiazepines 13 or more,0.00
80348,,Drug screening buprenorphine,0.00
80349,,Cannabinoids natural,0.00
80350,,Cannabinoids synthetic 1-3,0.00
80351,,Cannabinoids synthetic 4-6,0.00
80352,,Cannabinoid synthetic 7/more,0.00
80353,,Drug screening cocaine,0.00
80354,,Drug screening fentanyl,0.00
80355,,Gabapentin non-blood,0.00
80356,,Heroin metabolite,0.00
80357,,Ketamine and norketamine,0.00
80358,,Drug screening methadone,0.00
80359,,Methylenedioxyamphetamines,0.00
80360,,Methylphenidate,0.00
80361,,Opiates 1 or more,0.00
80362,,Opioids & opiate analogs 1/2,0.00
80363,,Opioids & opiate analogs 3/4,0.00
80364,,Opioid &opiate analog 5/more,0.00
80365,,Drug screening oxycodone,0.00
80366,,Drug screening pregabalin,0.00
80367,,Drug screening propoxyphene,0.00
80368,,Sedative hypnotics,0.00
80369,,Skeletal muscle relaxant 1/2,0.00
80370,,Skel musc relaxant 3 or more,0.00
80371,,Stimulants synthetic,0.00
80372,,Drug screening tapentadol,0.00
80373,,Drug screening tramadol,0.00
80374,,Stereoisomer analysis,0.00
80375,,Drug/substance nos 1-3,0.00
80376,,Drug/substance nos 4-6,0.00
80377,,Drug/substance nos 7/more,0.00
80400,,Acth stimulation panel,0.00
80402,,Acth stimulation panel,0.00
80406,,Acth stimulation panel,0.00
80408,,Aldosterone suppression eval,0.00
80410,,Calcitonin stimul panel,0.00
80412,,Crh stimulation panel,0.00
80414,,Testosterone response panel,0.00
80415,,Tot estradiol response panel,0.00
80416,,Renin stimulation panel,0.00
80417,,Renin stimulation panel,0.00
80418,,Pituitary evaluation panel,0.00
80420,,Dexamethasone panel,0.00
80422,,Glucagon tolerance panel,0.00
80424,,Glucagon tolerance panel,0.00
80426,,Gonadotropin hormone panel,0.00
80428,,Growth hormone panel,0.00
80430,,Growth hormone panel,0.00
80432,,Insulin suppression panel,0.00
80434,,Insulin tolerance panel,0.00
80435,,Insulin tolerance panel,0.00
80436,,Metyrapone panel,0.00
80438,,Trh stimulation panel,0.00
80439,,Trh stimulation panel,0.00
80503,,Path clin consltj sf 5-20,0.43
80504,,Path clin consltj mod 21-40,0.91
80505,,Path clin consltj high 41-60,1.71
80506,,Path clin consltj prolng svc,0.80
81000,,Urinalysis nonauto w/scope,0.00
81001,,Urinalysis auto w/scope,0.00
81002,,Urinalysis nonauto w/o scope,0.00
81003,,Urinalysis auto w/o scope,0.00
81005,,Urinalysis,0.00
81007,,Urine screen for bacteria,0.00
81015,,Microscopic exam of urine,0.00
81020,,Urinalysis glass test,0.00
81025,,Urine pregnancy test,0.00
81050,,Urinalysis volume measure,0.00
81099,,Unlisted urinalysis px,0.00
81105,,Hpa-1 genotyping,0.00
81106,,Hpa-2 genotyping,0.00
81107,,Hpa-3 genotyping,0.00
81108,,Hpa-4 genotyping,0.00
81109,,Hpa-5 genotyping,0.00
81110,,Hpa-6 genotyping,0.00
81111,,Hpa-9 genotyping,0.00
81112,,Hpa-15 genotyping,0.00
81120,,Idh1 common variants,0.00
81121,,Idh2 common variants,0.00
81161,,Dmd dup/delet analysis,0.00
81162,,Brca1&2 gen full seq dup/del,0.00
81163,,Brca1&2 gene full seq alys,0.00
81164,,Brca1&2 gen ful dup/del alys,0.00
81165,,Brca1 gene full seq alys,0.00
81166,,Brca1 gene full dup/del alys,0.00
81167,,Brca2 gene full dup/del alys,0.00
81168,,Ccnd1/igh translocation alys,0.00
81170,,Abl1 gene,0.00
81171,,Aff2 gen aly detc abnl allel,0.00
81172,,Aff2 gen alys charac alleles,0.00
81173,,Ar gene full gene sequence,0.00
81174,,Ar gene known famil variant,0.00
81175,,Asxl1 full gene sequence,0.00
81176,,Asxl1 gene target seq alys,0.00
81177,,Atn1 gene detc abnor alleles,0.00
81178,,Atxn1 gene detc abnor allele,0.00
81179,,Atxn2 gene detc abnor allele,0.00
81180,,Atxn3 gene detc abnor allele,0.00
81181,,Atxn7 gene detc abnor allele,0.00
81182,,Atxn8os gen detc abnor allel,0.00
81183,,Atxn10 gene detc abnor allel,0.00
81184,,Cacna1a gen detc abnor allel,0.00
81185,,Cacna1a gene full gene seq,0.00
81186,,Cacna1a gen known famil vrnt,0.00
81187,,Cnbp gene detc abnor allele,0.00
81188,,Cstb gene detc abnor allele,0.00
81189,,Cstb gene full gene sequence,0.00
81190,,Cstb gene known famil vrnt,0.00
81191,,Ntrk1 translocation analysis,0.00
81192,,Ntrk2 translocation analysis,0.00
81193,,Ntrk3 translocation analysis,0.00
81194,,Ntrk translocation analysis,0.00
81195,,Cytog genom-wid alys hem mal,0.00
81200,,Aspa gene,0.00
81201,,Apc gene full sequence,0.00
81202,,Apc gene known fam variants,0.00
81203,,Apc gene dup/delet variants,0.00
81204,,Ar gene charac alleles,0.00
81205,,Bckdhb gene,0.00
81206,,Bcr/abl1 gene major bp,0.00
81207,,Bcr/abl1 gene minor bp,0.00
81208,,Bcr/abl1 gene other bp,0.00
81209,,Blm gene,0.00
81210,,Braf gene,0.00
81212,,Brca1&2 185&5385&6174 vrnt,0.00
81215,,Brca1 gene known famil vrnt,0.00
81216,,Brca2 gene full seq alys,0.00
81217,,Brca2 gene known famil vrnt,0.00
81218,,Cebpa gene full sequence,0.00
81219,,Calr gene com variants,0.00
81220,,Cftr gene com variants,0.00
81221,,Cftr gene known fam variants,0.00
81222,,Cftr gene dup/delet variants,0.00
81223,,Cftr gene full sequence,0.00
81224,,Cftr gene intron poly t,0.00
81225,,Cyp2c19 gene com variants,0.00
81226,,Cyp2d6 gene com variants,0.00
81227,,Cyp2c9 gene com variants,0.00
81228,,Cytog alys chrml abnr cgh,0.00
81229,,Cytog alys chrml abnr snpcgh,0.00
81230,,Cyp3a4 gene common variants,0.00
81231,,Cyp3a5 gene common variants,0.00
81232,,Dpyd gene common variants,0.00
81233,,Btk gene common variants,0.00
81234,,Dmpk gene detc abnor allele,0.00
81235,,Egfr gene com variants,0.00
81236,,Ezh2 gene full gene sequence,0.00
81237,,Ezh2 gene common variants,0.00
81238,,F9 full gene sequence,0.00
81239,,Dmpk gene charac alleles,0.00
81240,,F2 gene,0.00
81241,,F5 gene,0.00
81242,,Fancc gene,0.00
81243,,Fmr1 gen aly detc abnl allel,0.00
81244,,Fmr1 gen alys charac alleles,0.00
81245,,Flt3 gene,0.00
81246,,Flt3 gene analysis,0.00
81247,,G6pd gene alys cmn variant,0.00
81248,,G6pd known familial variant,0.00
81249,,G6pd full gene sequence,0.00
81250,,G6pc gene,0.00
81251,,Gba gene,0.00
81252,,Gjb2 gene full sequence,0.00
81253,,Gjb2 gene known fam variants,0.00
81254,,Gjb6 gene com variants,0.00
81255,,Hexa gene,0.00
81256,,Hfe gene,0.00
81257,,Hba1/hba2 gene,0.00
81258,,Hba1/hba2 gene fam vrnt,0.00
81259,,Hba1/hba2 full gene sequence,0.00
81260,,Ikbkap gene,0.00
81261,,Igh gene rearrange amp meth,0.00
81262,,Igh gene rearrang dir probe,0.00
81263,,Igh vari regional mutation,0.00
81264,,Igk rearrangeabn clonal pop,0.00
81265,,Str markers specimen anal,0.00
81266,,Str markers spec anal addl,0.00
81267,,Chimerism anal no cell selec,0.00
81268,,Chimerism anal w/cell select,0.00
81269,,Hba1/hba2 gene dup/del vrnts,0.00
81270,,Jak2 gene,0.00
81271,,Htt gene detc abnor alleles,0.00
81272,,Kit gene targeted seq analys,0.00
81273,,Kit gene analys d816 variant,0.00
81274,,Htt gene charac alleles,0.00
81275,,Kras gene variants exon 2,0.00
81276,,Kras gene addl variants,0.00
81277,,Cytogenomic neo microra alys,0.00
81278,,Igh@/bcl2 translocation alys,0.00
81279,,Jak2 gene trgt sequence alys,0.00
81283,,Ifnl3 gene,0.00
81284,,Fxn gene detc abnor alleles,0.00
81285,,Fxn gene charac alleles,0.00
81286,,Fxn gene full gene sequence,0.00
81287,,Mgmt gene prmtr mthyltn alys,0.00
81288,,Mlh1 gene,0.00
81289,,Fxn gene known famil variant,0.00
81290,,Mcoln1 gene,0.00
81291,,Mthfr gene,0.00
81292,,Mlh1 gene full seq,0.00
81293,,Mlh1 gene known variants,0.00
81294,,Mlh1 gene dup/delete variant,0.00
81295,,Msh2 gene full seq,0.00
81296,,Msh2 gene known variants,0.00
81297,,Msh2 gene dup/delete variant,0.00
81298,,Msh6 gene full seq,0.00
81299,,Msh6 gene known variants,0.00
81300,,Msh6 gene dup/delete variant,0.00
81301,,Microsatellite instability,0.00
81302,,Mecp2 gene full seq,0.00
81303,,Mecp2 gene known variant,0.00
81304,,Mecp2 gene dup/delet variant,0.00
81305,,Myd88 gene p.leu265pro vrnt,0.00
81306,,Nudt15 gene common variants,0.00
81307,,Palb2 gene full gene seq,0.00
81308,,Palb2 gene known famil vrnt,0.00
81309,,Pik3ca gene trgt seq alys,0.00
81310,,Npm1 gene,0.00
81311,,Nras gene variants exon 2&3,0.00
81312,,Pabpn1 gene detc abnor allel,0.00
81313,,Pca3/klk3 antigen,0.00
81314,,Pdgfra gene,0.00
81315,,Pml/raralpha com breakpoints,0.00
81316,,Pml/raralpha 1 breakpoint,0.00
81317,,Pms2 gene full seq analysis,0.00
81318,,Pms2 known familial variants,0.00
81319,,Pms2 gene dup/delet variants,0.00
81320,,Plcg2 gene common variants,0.00
81321,,Pten gene full sequence,0.00
81322,,Pten gene known fam variant,0.00
81323,,Pten gene dup/delet variant,0.00
81324,,Pmp22 gene dup/delet,0.00
81325,,Pmp22 gene full sequence,0.00
81326,,Pmp22 gene known fam variant,0.00
81327,,Sept9 gen prmtr mthyltn alys,0.00
81328,,Slco1b1 gene com variants,0.00
81329,,Smn1 gene dos/deletion alys,0.00
81330,,Smpd1 gene common variants,0.00
81331,,Snrpn/ube3a gene,0.00
81332,,Serpina1 gene,0.00
81333,,Tgfbi gene common variants,0.00
81334,,Runx1 gene targeted seq alys,0.00
81335,,Tpmt gene com variants,0.00
81336,,Smn1 gene full gene sequence,0.00
81337,,Smn1 gen nown famil seq vrnt,0.00
81338,,Mpl gene common variants,0.00
81339,,Mpl gene seq alys exon 10,0.00
81340,,Trb@ gene rearrange amplify,0.00
81341,,Trb@ gene rearrange dirprobe,0.00
81342,,Trg gene rearrangement anal,0.00
81343,,Ppp2r2b gen detc abnor allel,0.00
81344,,Tbp gene detc abnor alleles,0.00
81345,,Tert gene targeted seq alys,0.00
81346,,Tyms gene com variants,0.00
81347,,Sf3b1 gene common variants,0.00
81348,,Srsf2 gene common variants,0.00
81349,,Cytog alys chrml abnr lw-ps,0.00
81350,,Ugt1a1 gene common variants,0.00
81351,,Tp53 gene full gene sequence,0.00
81352,,Tp53 gene trgt sequence alys,0.00
81353,,Tp53 gene known famil vrnt,0.00
81355,,Vkorc1 gene,0.00
81357,,U2af1 gene common variants,0.00
81360,,Zrsr2 gene common variants,0.00
81361,,Hbb gene com variants,0.00
81362,,Hbb gene known fam variant,0.00
81363,,Hbb gene dup/del variants,0.00
81364,,Hbb full gene sequence,0.00
81370,,Hla i & ii typing lr,0.00
81371,,Hla i & ii type verify lr,0.00
81372,,Hla i typing complete lr,0.00
81373,,Hla i typing 1 locus lr,0.00
81374,,Hla i typing 1 antigen lr,0.00
81375,,Hla ii typing ag equiv lr,0.00
81376,,Hla ii typing 1 locus lr,0.00
81377,,Hla ii type 1 ag equiv lr,0.00
81378,,Hla i & ii typing hr,0.00
81379,,Hla i typing complete hr,0.00
81380,,Hla i typing 1 locus hr,0.00
81381,,Hla i typing 1 allele hr,0.00
81382,,Hla ii typing 1 loc hr,0.00
81383,,Hla ii typing 1 allele hr,0.00
81400,,Mopath procedure level 1,0.00
81401,,Mopath procedure level 2,0.00
81402,,Mopath procedure level 3,0.00
81403,,Mopath procedure level 4,0.00
81404,,Mopath procedure level 5,0.00
81405,,Mopath procedure level 6,0.00
81406,,Mopath procedure level 7,0.00
81407,,Mopath procedure level 8,0.00
81408,,Mopath procedure level 9,0.00
81410,,Aortic dysfunction/dilation,0.00
81411,,Aortic dysfunction/dilation,0.00
81412,,Ashkenazi jewish assoc dis,0.00
81413,,Car ion chnnlpath inc 10 gns,0.00
81414,,Car ion chnnlpath inc 2 gns,0.00
81415,,Exome sequence analysis,0.00
81416,,Exome sequence analysis,0.00
81417,,Exome re-evaluation,0.00
81418,,Rx metab gen seq alys pnl 6,0.00
81419,,Epilepsy gen seq alys panel,0.00
81420,,Fetal chrmoml aneuploidy,0.00
81422,,Fetal chrmoml microdeltj,0.00
81425,,Genome sequence analysis,0.00
81426,,Genome sequence analysis,0.00
81427,,Genome re-evaluation,0.00
81430,,Hearing loss sequence analys,0.00
81431,,Hearing loss dup/del analys,0.00
81432,,Hrdtry brst ca-rlatd do 5+,0.00
81434,,Hered rta do gen seq 15,0.00
81435,,Hered colon ca-rlatd do 5+,0.00
81437,,Hered neuroend tum-rlt do 5+,0.00
81439,,Hrdtry cardmypy gene panel,0.00
81440,,Mitochondrial gene,0.00
81441,,Ibmfs seq alys pnl 30 genes,0.00
81442,,Noonan spectrum disorders,0.00
81443,,Genetic tstg severe inh cond,0.00
81445,,So neo gsap 5-50dna/dna&rna,0.00
81448,,Hrdtry perph neurphy panel,0.00
81449,,So neo gsap 5-50 rna alys,0.00
81450,,Hl neo gsap 5-50dna/dna&rna,0.00
81451,,Hl neo gsap 5-50 rna alys,0.00
81455,,So/hl 51/>gsap dna/dna&rna,0.00
81456,,So/hl 51/>gsap rna alys,0.00
81457,,So neo gsap dna mcrstl ins,0.00
81458,,So gsap dna cpy nmbr&mcrstl,0.00
81459,,So neo gsap dna/dna&rna,0.00
81460,,Whole mitochondrial genome,0.00
81462,,So gsap cll fr dna/dna&rna,0.00
81463,,So gsap cl fr cpy nmbr&mcrst,0.00
81464,,So gsap cll fr mcrstl ins,0.00
81465,,Whole mitochondrial genome,0.00
81470,,X-linked intellectual dblt,0.00
81471,,X-linked intellectual dblt,0.00
81479,,Unlisted molecular pathology,0.00
81490,,Autoimmune ra alys 12 bmrk,0.00
81493,,Cor artery disease mrna,0.00
81500,,Onco (ovar) two proteins,0.00
81503,,Onco (ovar) five proteins,0.00
81504,,Oncology tissue of origin,0.00
81506,,Endo assay seven anal,0.00
81507,,Fetal aneuploidy trisom risk,0.00
81508,,Ftl cgen abnor two proteins,0.00
81509,,Ftl cgen abnor 3 proteins,0.00
81510,,Ftl cgen abnor three anal,0.00
81511,,Ftl cgen abnor four anal,0.00
81512,,Ftl cgen abnor five anal,0.00
81513,,Nfct ds bv rna vag flu alg,0.00
81514,,Nfct ds bv&vaginitis dna alg,0.00
81515,,Nfct ds bv&vaginitis dna alg,0.00
81517,,Liver ds alys 3 bmrk srm alg,0.00
81518,,Onc brst mrna 11 genes,0.00
81519,,Oncology breast mrna,0.00
81520,,Onc breast mrna 58 genes,0.00
81521,,Onc breast mrna 70 genes,0.00
81522,,Onc breast mrna 12 genes,0.00
81523,,Onc brst mrna 70 cnt 31 gene,0.00
81525,,Oncology colon mrna,0.00
81528,,Oncology colorectal scr,0.00
81529,,Onc cutan mlnma mrna 31 gene,0.00
81535,,Oncology gynecologic,0.00
81536,,Oncology gynecologic,0.00
81538,,Oncology lung,0.00
81539,,Oncology prostate prob score,0.00
81540,,Oncology tum unknown origin,0.00
81541,,Onc prostate mrna 46 genes,0.00
81542,,Onc prostate mrna 22 cnt gen,0.00
81546,,"Onc thyr mrna 10,196 gen alg",0.00
81551,,Onc prostate 3 genes,0.00
81552,,Onc uveal mlnma mrna 15 gene,0.00
81554,,Pulm ds ipf mrna 190 gen alg,0.00
81558,,Trnspl rej kdn mrna qpcr 139,0.00
81560,,Trnsplj pd lvr&bwl cd154+cll,0.00
81595,,Cardiology hrt trnspl mrna,0.00
81596,,Nfct ds chrnc hcv 6 assays,0.00
81599,,Unlisted maaa,0.00
82009,,Ketone bodys qual,0.00
82010,,Ketone bodys quan,0.00
82013,,Acetylcholinesterase assay,0.00
82016,,Acylcarnitines qual,0.00
82017,,Acylcarnitines quant,0.00
82024,,Assay of acth,0.00
82030,,Assay of adp & amp,0.00
82040,,Assay of serum albumin,0.00
82042,,Other source albumin quan ea,0.00
82043,,Ur albumin quantitative,0.00
82044,,Ur albumin semiquantitative,0.00
82045,,Albumin ischemia modified,0.00
82075,,Assay of breath ethanol,0.00
82077,,Assay spec xcp ur&breath ia,0.00
82085,,Assay of aldolase,0.00
82088,,Assay of aldosterone,0.00
82103,,Alpha-1-antitrypsin total,0.00
82104,,Alpha-1-antitrypsin pheno,0.00
82105,,Alpha-fetoprotein serum,0.00
82106,,Alpha-fetoprotein amniotic,0.00
82107,,Alpha-fetoprotein l3,0.00
82108,,Assay of aluminum,0.00
82120,,Amines vaginal fluid qual,0.00
82127,,Amino acid single qual,0.00
82128,,Amino acids mult qual,0.00
82131,,Amino acids single quant,0.00
82135,,Assay aminolevulinic acid,0.00
82136,,Amino acids quant 2-5,0.00
82139,,Amino acids quan 6 or more,0.00
82140,,Assay of ammonia,0.00
82143,,Amniotic fluid scan,0.00
82150,,Assay of amylase,0.00
82154,,Androstanediol glucuronide,0.00
82157,,Assay of androstenedione,0.00
82160,,Assay of androsterone,0.00
82163,,Assay of angiotensin ii,0.00
82164,,Angiotensin i enzyme test,0.00
82166,,Assay anti-mullerian horm,0.00
82172,,Assay of apolipoprotein,0.00
82175,,Assay of arsenic,0.00
82180,,Assay of ascorbic acid,0.00
82190,,Atomic absorption,0.00
82232,,Assay of beta-2 protein,0.00
82233,,Beta-amyloid 1-40 (abeta 40),0.00
82234,,Beta-amyloid 1-42 (abeta 42),0.00
82239,,Bile acids total,0.00
82240,,Bile acids cholylglycine,0.00
82247,,Bilirubin total,0.00
82248,,Bilirubin direct,0.00
82252,,Fecal bilirubin test,0.00
82261,,Assay of biotinidase,0.00
82270,,Occult blood feces,0.00
82271,,Occult blood other sources,0.00
82272,,Occult bld feces 1-3 tests,0.00
82274,,Assay test for blood fecal,0.00
82286,,Assay of bradykinin,0.00
82300,,Assay of cadmium,0.00
82306,,Vitamin d 25 hydroxy,0.00
82308,,Assay of calcitonin,0.00
82310,,Assay of calcium,0.00
82330,,Assay of calcium,0.00
82331,,Calcium infusion test,0.00
82340,,Assay of calcium in urine,0.00
82355,,Calculus analysis qual,0.00
82360,,Calculus assay quant,0.00
82365,,Calculus spectroscopy,0.00
82370,,X-ray assay calculus,0.00
82373,,Assay c-d transfer measure,0.00
82374,,Assay blood carbon dioxide,0.00
82375,,Assay carboxyhb quant,0.00
82376,,Assay carboxyhb qual,0.00
82378,,Carcinoembryonic antigen,0.00
82379,,Assay of carnitine,0.00
82380,,Assay of carotene,0.00
82382,,Assay urine catecholamines,0.00
82383,,Assay blood catecholamines,0.00
82384,,Assay three catecholamines,0.00
82387,,Assay of cathepsin-d,0.00
82390,,Assay of ceruloplasmin,0.00
82397,,Chemiluminescent assay,0.00
